Br	Tox1
CNC(=O)Oc1cccc(C(C)C)c1	Tox3813
CNC(=O)Oc1cccc(N=CN(C)C)c1	Tox3814
CNC(=O)Oc1cccc2c1OC(C)(C)C2	Tox3815
CNC(=O)Oc1cccc2c1OC(C)(C)O2	Tox3816
CNC(=O)Oc1cccc2ccccc12	Tox3817
CNC(=O)Oc1ccccc1C(=O)Nc1ccccc1	Tox3818
CNC(=O)Oc1ccccc1C(C)C	Tox3819
CNC(=O)Oc1ccccc1C1OCCO1	Tox3820
CNC(=O)Oc1ccccc1OC(C)C	Tox3821
CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C	Tox3822
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cc(Cl)ccc4OCc4cc(C)no4)ncnc32)[C@H](O)[C@@H]1N	Tox3823
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4ccc(I)cc4)nc(Cl)nc32)[C@H](O)[C@@H]1O	Tox3824
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@H](O)C1O	Tox3825
CNC(=O)c1c(I)c(C(=O)NCC(=O)Nc2c(I)c(C(=O)O)c(I)c(C(=O)NCCO)c2I)c(I)c(N(C)C(C)=O)c1I	Tox3826
CNC(=O)c1c(I)c(NC(=O)CCCCC(=O)Nc2c(I)c(C(=O)O)c(I)c(C(=O)NC)c2I)c(I)c(C(=O)O)c1I	Tox3827
CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I	Tox3828
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1	Tox3829
CNC(=O)c1cc2c(cn1)[nH]c1ccccc12	Tox3830
CNC(=O)c1ccccc1	Tox3831
CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1	Tox3832
CNC(=O)c1cnn(-c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1	Tox3833
CNC(=S)N(C)C	Tox3834
CNC(=S)NC	Tox3835
CNC(=S)NN	Tox3836
CNC(=S)S	Tox3837
CNC(C)(C)Cc1ccccc1	Tox3838
CNC(C)=O	Tox3839
CNC(C)C(O)c1ccc(O)cc1	Tox3840
CNC(C)CC1CCCCC1	Tox3841
CNC(C)CCC=C(C)C	Tox3842
CNC(C)Cc1ccc2c(c1)OCO2	Tox3843
CNC(C)Cc1ccccc1OC	Tox3844
CNC1(C)C2CCC(C2)C1(C)C	Tox3845
CNC1(c2ccccc2Cl)CCCCC1=O	Tox3846
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1	Tox3847
CNC1CCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC)C1	Tox3848
CNCC(=O)c1ccc(O)c(O)c1	Tox3849
CNCC(O)c1ccc(O)cc1	Tox3850
CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1	Tox3851
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1	Tox3852
CNCCC(Oc1ccccc1OC)c1ccccc1	Tox3853
CNCCC=C1c2ccccc2CCc2ccccc21	Tox3854
CNCCCC12CCC(c3ccccc31)c1ccccc12	Tox3855
CNCCCC1c2ccccc2C=Cc2ccccc21	Tox3856
CNCCCCOc1ccccc1Cc1ccccc1	Tox3857
CNCCCN1c2ccccc2CCc2ccccc21	Tox3858
CNCCO	Tox3859
CNCCS(=O)(=O)O	Tox3860
CNCC[C@@H](Oc1ccccc1C)c1ccccc1	Tox3861
CNCC[C@H](Oc1cccc2ccccc12)c1cccs1	Tox3862
CNCCc1c[nH]c(CCC(c2ccccc2)c2ccccc2)n1	Tox3863
CNCCc1c[nH]c2ccc(O)cc12	Tox3864
CNCCc1ccccn1	Tox3865
CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	Tox3866
CNC[C@H](O)c1ccc(O)c(O)c1	Tox3867
CNC[C@H](O)c1cccc(O)c1	Tox3868
CNCc1cc(F)ccc1Oc1ccc(Cl)c(Cl)c1	Tox3869
CNCc1ccc(NC(=O)c2c[nH]c3c2C(=O)CCC3)cc1	Tox3870
CNCc1ccccc1	Tox3871
CNNCc1ccc(C(=O)NC(C)C)cc1	Tox3872
CNP(=O)(OC)Oc1ccc(C(C)(C)C)cc1Cl	Tox3873
CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1	Tox3874
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1	Tox3875
CNS(=O)(=O)c1cc(C(=O)N2CCC(CCN3C4CCC3CC(n3c(C)nc5ccccc53)C4)(c3cccc(F)c3)CC2)c(Cl)cc1F	Tox3876
CN[C@@H](C)Cc1ccccc1	Tox3877
CN[C@@H](C)[C@H](O)c1ccccc1	Tox3878
CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21	Tox3879
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](OC3OC(CN)=CCC3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O	Tox3880
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](N)C[C@H]2NC(=O)C(O)CN)OC[C@]1(C)O	Tox3881
CN[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@H]2O)OC[C@@]1(C)O	Tox3882
CN[C@@H]1[C@@H](O[C@H]2O[C@H](CO)[C@@H](N)[C@H](O)[C@H]2O)O[C@H]2C[C@@H](N)[C@@H](O[C@@H]3[C@@H](N)C[C@@H](N)[C@H](O)[C@H]3O)O[C@@H]2[C@@H]1O	Tox3883
CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](NC(=N)N)[C@H](O)[C@@H](NC(=N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O	Tox3884
CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](NC(=N)N)[C@H](O)[C@@H](NC(=N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O	Tox3885
CN[C@@]1(c2ccccc2Cl)CCCCC1=O	Tox3886
CN[C@H](C)Cc1ccccc1	Tox3887
CN[C@H](CC(=O)O)C(=O)O	Tox3888
CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)C(O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O	Tox3889
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(N)(=O)=O)cc21	Tox3890
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21	Tox3891
CN[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21	Tox3892
CN[C@H]1C[C@@H](N)[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@@H]3OC4(O[C@H]23)O[C@H]([C@H](N)CO)[C@H](O)[C@H](O)[C@H]4O)[C@@H]1O	Tox3893
CN[C@H]1[C@@H](O)[C@@H](NC)[C@H](O)[C@H]2O[C@@H]3O[C@H](C)CC(=O)[C@]3(O)O[C@H]12	Tox3894
CN[C@]1(c2ccccc2Cl)CCCCC1=O	Tox3895
CNc1c2c(nn1C)CCCC2	Tox3896
CNc1cc(OC)c(C(=O)N[C@H]2CCN(Cc3ccccc3)[C@H]2C)cc1Cl	Tox3897
CNc1ccc(C(=O)CC(O)CCC(C)C2OC(=O)CC(O)CC(=O)CC(O)CC(O)CC(O)CC(O)CC3(O)CC(O)C(C(=O)OC)C(CC(O[C@@H]4O[C@H](C)[C@@H](O)[C@H](N)[C@@H]4O)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C2C)O3)cc1	Tox3898
CNc1ccc(O)cc1	Tox3899
CNc1ccc([N+](=O)[O-])cc1	Tox3900
CNc1ccc2oc(C[C@H]3O[C@@]4(CC[C@H]3C)O[C@H]([C@H](C)C(=O)c3ccc[nH]3)[C@H](C)C[C@H]4C)nc2c1C(=O)O	Tox3901
CNc1ccccc1	Tox3902
CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl	Tox3903
CNc1ncnc2[nH]cnc12	Tox3904
CNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)C(O)[C@H]1O	Tox3905
CO	Tox3906
CO/C=C(/C(=O)OC)c1ccccc1COc1cccc(C(F)(F)F)n1	Tox3907
CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1	Tox3908
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1	Tox3909
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[n+]3ccn4ncccc43)CS[C@H]12)c1nsc(N)n1	Tox3910
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cn3nnc(C)n3)CS[C@H]12)c1csc(N)n1	Tox3911
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(C)CS[C@H]12)c1csc(N)n1	Tox3912
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccn4ncccc43)CS[C@H]12)c1nsc(N)n1	Tox3913
CO/N=C(/C(=O)OC)c1ccccc1COc1ccccc1C	Tox3914
CO/N=C(/C1=NOCCO1)c1ccccc1Oc1ncnc(Oc2ccccc2Cl)c1F	Tox3915
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSC(=O)c3ccco3)CS[C@H]12)c1csc(N)n1	Tox3916
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1	Tox3917
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(CC(=O)O)s3)CS[C@H]12)c1csc(N)n1	Tox3918
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1	Tox3919
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1	Tox3920
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[n+]3ccc(N)n3CCO)CS[C@H]12)c1csc(N)n1	Tox3921
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[n+]3cccc4c3CCC4)CS[C@H]12)c1csc(N)n1	Tox3922
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1	Tox3923
CO/N=C(\C(=O)O)c1csc(NC(=O)CCl)n1	Tox3924
CO/N=C1/C[C@]2(C[C@@H]3C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C4\CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)O[C@H](/C(C)=C/C(C)C)[C@H]1C	Tox3925
CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN	Tox3926
COC(=O)/C=C(\C)OP(=O)(OC)OC	Tox3927
COC(=O)/C=C/C=C(C)/C=C/C=C(C)/C=C\C=C(C)\C=C/C=C(C)\C=C/C(=O)O	Tox3928
COC(=O)/C=C/c1ccccc1	Tox3929
COC(=O)/C=C\C(=O)O	Tox3930
COC(=O)/C=C\C(=O)OC	Tox3931
COC(=O)C(Br)CBr	Tox3932
COC(=O)C(C)(C)C	Tox3933
COC(=O)C(C)=O	Tox3934
COC(=O)C(C)N(C(=O)Cc1ccccc1)c1c(C)cccc1C	Tox3935
COC(=O)C(C)N(C(=O)c1ccco1)c1c(C)cccc1C	Tox3936
COC(=O)C(C)O	Tox3937
COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1	Tox3938
COC(=O)C(C)Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1	Tox3939
COC(=O)C(CN)c1c[nH]c2ccc(OC)cc12	Tox3940
COC(=O)C(Cl)C(=O)OC	Tox3941
COC(=O)C(N)Cc1ccc(Cl)cc1	Tox3942
COC(=O)C(c1ccccc1)C1CCCCN1	Tox3943
COC(=O)C1(O)c2ccccc2-c2ccccc21	Tox3944
COC(=O)C1=C(C#N)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1	Tox3945
COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)(C)CN(C)CCC(c2ccccc2)c2ccccc2)C1c1cccc([N+](=O)[O-])c1	Tox3946
COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12	Tox3947
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1OC(F)F	Tox3948
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]	Tox3949
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)=O)C1c1ccccc1[N+](=O)[O-]	Tox3950
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]	Tox3951
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1	Tox3952
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1	Tox3953
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1	Tox3954
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCc2ccc(N3CCN(C(c4ccccc4)c4ccccc4)CC3)cc2)C1c1cccc([N+](=O)[O-])c1	Tox3955
COC(=O)C1=C(C)NC(C)=C(C(=O)O[C@@H]2CCCN(Cc3ccccc3)C2)[C@@H]1c1cccc([N+](=O)[O-])c1	Tox3956
COC(=O)C1=C(C)NC(C)=C(C(=O)O[C@H]2CCN(Cc3ccccc3)C2)[C@H]1c1cccc([N+](=O)[O-])c1	Tox3957
COC(=O)C1=C(C)NC(COC(N)=O)=C(C(=O)OC(C)C)C1c1cccc(Cl)c1Cl	Tox3958
COC(=O)C1=CCCN(C)C1	Tox3959
COC(=O)C1CC(=O)C(C(=O)OC)CC1=O	Tox3960
COC(=O)C1CCC(C(=O)OC)CC1	Tox3961
COC(=O)C=C(C)CCC=C(C)C	Tox3962
COC(=O)C=C(C)N	Tox3963
COC(=O)CC#N	Tox3964
COC(=O)CC(=O)C(C)(C)C	Tox3965
COC(=O)CC(=O)OC	Tox3966
COC(=O)CC(C(C)=O)C(=O)OC	Tox3967
COC(=O)CC(C)=O	Tox3968
COC(=O)CC(C)CCC=C(C)C	Tox3969
COC(=O)CCC(=O)O	Tox3970
COC(=O)CCC(=O)OC	Tox3971
COC(=O)CCCC(=O)O	Tox3972
COC(=O)CCCC(=O)OC	Tox3973
COC(=O)CCCCC(=O)O	Tox3974
COC(=O)CCCCC(=O)OC	Tox3975
COC(=O)CCCCC(CCSS/C(CCO)=C(\C)N(C=O)Cc1cnc(C)nc1N)SC(C)=O	Tox3976
COC(=O)CCCCCCCC(=O)OC	Tox3977
COC(=O)CCCCCCCCC(=O)OC	Tox3978
COC(=O)CCC[N+](C)(C)C	Tox3979
COC(=O)CCS	Tox3980
COC(=O)CCSCCC(=O)OC	Tox3981
COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1	Tox3982
COC(=O)COc1ccc(Cl)cc1Cl	Tox3983
COC(=O)CS	Tox3984
COC(=O)CSc1cc(/N=c2\sc(=O)n3n2CCCC3)c(F)cc1Cl	Tox3985
COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4	Tox3986
COC(=O)Cc1cccc2ccccc12	Tox3987
COC(=O)Cc1ccccc1	Tox3988
COC(=O)Cl	Tox3989
COC(=O)N(C(=O)N1CO[C@@]2(C(=O)OC)Cc3cc(Cl)ccc3C2=N1)c1ccc(OC(F)(F)F)cc1	Tox3990
COC(=O)N(OC)c1ccccc1COc1ccn(-c2ccc(Cl)cc2)n1	Tox3991
COC(=O)N/N=C/c1c[n+]([O-])c2ccccc2[n+]1[O-]	Tox3992
COC(=O)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)C(CN2CCCC2)C1	Tox3993
COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC	Tox3994
COC(=O)NCCC[Si](OC)(OC)OC	Tox3995
COC(=O)NN	Tox3996
COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C	Tox3997
COC(=O)Nc1ccc(Cl)c(Cl)c1	Tox3998
COC(=O)Nc1nc2cc(C(=O)C3CC3)ccc2[nH]1	Tox3999
COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1	Tox4000
COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1	Tox4001
COC(=O)Nc1nc2cc(Sc3ccccc3)ccc2[nH]1	Tox4002
COC(=O)Nc1nc2cc([S+]([O-])c3ccccc3)ccc2[nH]1	Tox4003
COC(=O)Nc1nc2ccccc2[nH]1	Tox4004
COC(=O)OC	Tox4005
COC(=O)[C@@H](N)CCCN/C(N)=N/[N+](=O)[O-]	Tox4006
COC(=O)[C@@H](N)Cc1ccc(O)c(O)c1	Tox4007
COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13	Tox4008
COC(=O)[C@@H]1[C@@H](O)CC[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21	Tox4009
COC(=O)[C@@]1(C)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C	Tox4010
COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O	Tox4011
COC(=O)[C@H](NC(=O)c1cc(-c2ccccc2)nc2ccccc12)c1ccccc1	Tox4012
COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1	Tox4013
COC(=O)[C@H]1CC[C@H](C(=O)OC)CC1	Tox4014
COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21	Tox4015
COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C	Tox4016
COC(=O)[C@H]1[C@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C	Tox4017
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2ccc(O)c(OC)c2)[C@@H]1OC	Tox4018
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)C=Cc2cc(OC)c(OC)c(OC)c2)[C@@H]1OC	Tox4019
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)COc2ccc(OC)cc2)[C@@H]1OC	Tox4020
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC	Tox4021
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@H](OC)[C@@H]1OC	Tox4022
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC	Tox4023
COC(=O)[C@]1(C)CCC[C@]2(C)[C@H]3CCC(C(C)C)=CC3=CC[C@@H]12	Tox4024
COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@](C)(CC[C@H]4C(C)(C)C(=O)C(C#N)=C[C@]34C)[C@]1(C)CC2	Tox4025
COC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C2=NCCS2)c1CC(C)C	Tox4026
COC(=O)c1c(C)[nH]c(C)c1C(=O)c1ccccc1Cc1ccccc1	Tox4027
COC(=O)c1c(C)cc(O)c(C)c1O	Tox4028
COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl	Tox4029
COC(=O)c1cc(C(=O)OC)cc(S(=O)(=O)O)c1	Tox4030
COC(=O)c1cc(Cl)c(NC(C)=O)cc1OC	Tox4031
COC(=O)c1cc(Cl)cc(Cl)c1	Tox4032
COC(=O)c1cc(Cl)ccc1NS(=O)(=O)C(F)(F)F	Tox4033
COC(=O)c1cc(Cl)ccc1OC	Tox4034
COC(=O)c1cc(Cl)ccc1[N+](=O)[O-]	Tox4035
COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-]	Tox4036
COC(=O)c1cc(S(N)(=O)=O)ccc1OC	Tox4037
COC(=O)c1ccc(C(=O)O)cc1	Tox4038
COC(=O)c1ccc(C(=O)OC)c(C(=O)OC)c1	Tox4039
COC(=O)c1ccc(C(=O)OC)cc1	Tox4040
COC(=O)c1ccc(C)cc1	Tox4041
COC(=O)c1ccc(C)cc1C1=NC(=O)C(C)(C(C)C)N1	Tox4042
COC(=O)c1ccc(C=O)cc1	Tox4043
COC(=O)c1ccc(CBr)cc1	Tox4044
COC(=O)c1ccc(I)cc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1	Tox4045
COC(=O)c1ccc(NC(C)=O)cc1OC	Tox4046
COC(=O)c1ccc(O)cc1	Tox4047
COC(=O)c1ccc(OC)cc1	Tox4048
COC(=O)c1ccc2cc(C(=O)OC)ccc2c1	Tox4049
COC(=O)c1cccc(C(=O)OC)c1	Tox4050
COC(=O)c1cccc(Cl)c1	Tox4051
COC(=O)c1ccccc1	Tox4052
COC(=O)c1ccccc1C	Tox4053
COC(=O)c1ccccc1C(=O)O	Tox4054
COC(=O)c1ccccc1C(=O)OC	Tox4055
COC(=O)c1ccccc1C(=O)c1ccc(OCCN2CCCCC2)cc1	Tox4056
COC(=O)c1ccccc1CS(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1	Tox4057
COC(=O)c1ccccc1Cl	Tox4058
COC(=O)c1ccccc1N	Tox4059
COC(=O)c1ccccc1O	Tox4060
COC(=O)c1ccccc1OC	Tox4061
COC(=O)c1ccccc1S(=O)(=O)NC(=O)N(C)c1nc(C)nc(OC)n1	Tox4062
COC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(C)cc(C)n1	Tox4063
COC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1	Tox4064
COC(=O)c1cccnc1	Tox4065
COC(=O)c1cncn1C(C)c1ccccc1	Tox4066
COC(=O)c1nc(Cl)c(Cl)nc1N	Tox4067
COC(=O)c1sccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1	Tox4068
COC(=O)c1sccc1S(N)(=O)=O	Tox4069
COC(C(=O)O)c1ccccc1	Tox4070
COC(C)(C)C	Tox4071
COC(C)(C)CC(C)=O	Tox4072
COC(C)(C)CCCC(C)C/C=C/C(C)=C/C(=O)OC(C)C	Tox4073
COC(C)(C)CCCC(C)CC=O	Tox4074
COC(C)(C)CCC[C@H](C)C/C=C/C(C)=C/C(=O)OC(C)C	Tox4075
COC(C)(C)CCO	Tox4076
COC(C)(C)OC	Tox4077
COC(C)(OC)OC	Tox4078
COC(C)=O	Tox4079
COC(C)CCO	Tox4080
COC(C)COC(C)COC(C)CO	Tox4081
COC(C)OC	Tox4082
COC(C=C(C)CCC=C(C)C)OC	Tox4083
COC(CC(C)CCCC(C)(C)O)OC	Tox4084
COC(COC(N)=O)C1=C(N2CC2)C(=O)C(C)=C(N2CC2)C1=O	Tox4085
COC(Cc1ccccc1)OC	Tox4086
COC(N)=O	Tox4087
COC(OC)(C(=O)c1ccccc1)c1ccccc1	Tox4088
COC(OC)C(C)c1ccccc1	Tox4089
COC(OC)OC	Tox4090
COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O	Tox4091
COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O	Tox4092
COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O	Tox4093
COC1=C(OC)C(=O)c2ccccc2C1=O	Tox4094
COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O	Tox4095
COC1=CC(=O)OC(CCc2ccccc2)C1	Tox4096
COC1=CC(=O)O[C@@H](/C=C/c2ccc3c(c2)OCO3)C1	Tox4097
COC1=CC(=O)O[C@@H](/C=C/c2ccccc2)C1	Tox4098
COC1=CC=C2[C@H]3Cc4ccc(OC)c5c4[C@@]2(CCN3C)[C@H]1O5	Tox4099
COC1CC(=C(c2cccs2)c2cccs2)C[N+](C)(C)C1	Tox4100
COC1CCC=CO1	Tox4101
COC1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@H](OC(=O)CC(C)C)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1OC(C)=O	Tox4102
COC=O	Tox4103
COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC	Tox4104
COCC(=O)N(c1c(C)cccc1C)N1CCOC1=O	Tox4105
COCC(=O)Nc1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I	Tox4106
COCC(=O)Nc1cc(Sc2ccccc2)ccc1N=C(NC(=O)OC)NC(=O)OC	Tox4107
COCC(=O)O	Tox4108
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C	Tox4109
COCC(C)N	Tox4110
COCC(C)N(C(=O)CCl)c1c(C)csc1C	Tox4111
COCC(C)O	Tox4112
COCC(C)OC(C)=O	Tox4113
COCC(O)CO	Tox4114
COCCC#N	Tox4115
COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1	Tox4116
